title,link,date,summary
Announcement of next auction (EU-Bills) on 15-10-2025,/news-and-media/news/announcement-next-auction-eu-bills-15-10-2025-2025-10-10_en,10 October 2025,Auction announcement EU-Bills.
President von der Leyen announces €618 million package to scale up renewables in Africa at Global Gateway Forum,https://international-partnerships.ec.europa.eu/news-and-events/news/president-von-der-leyen-announces-eu618-million-package-scale-renewables-africa-global-gateway-forum-2025-10-10_en,10 October 2025,European Commission President Ursula von der Leyen announced today a €618 million Team Europe package to accelerate Africa's clean energy transition.
Third EU-Bosnia and Herzegovina Horizon Europe Joint Research and Innovation Committee meeting,https://research-and-innovation.ec.europa.eu/news/all-research-and-innovation-news/third-eu-bosnia-and-herzegovina-horizon-europe-joint-research-and-innovation-committee-meeting-2025-10-10_en,10 October 2025,"On 2 October 2025, the third EU-Bosnia and Herzegovina Horizon Europe Joint Research and Innovation Committee meeting took place virtually."
Global Gateway Forum: EU and EDFI sign three guarantee agreements to mobilise private investments in partner countries,https://enlargement.ec.europa.eu/news/global-gateway-forum-eu-and-edfi-sign-three-guarantee-agreements-mobilise-private-investments-2025-10-10_en,10 October 2025,"Today at the Global Gateway Forum, the European Commission and European Development Finance Institutions announced three new guarantee agreements to mobilise private finance for development."
New EU rules on political advertising come into effect,/news-and-media/news/new-eu-rules-political-advertising-come-effect-2025-10-10_en,10 October 2025,"From 10 October, new EU-wide rules apply that will help us to navigate and understand the complex online and offline political arena better, with more transparency."
Global Gateway Forum: EU and IFC sign equity guarantee agreement to mobilise private investments Ukraine,https://enlargement.ec.europa.eu/news/global-gateway-forum-eu-and-ifc-sign-equity-guarantee-agreement-mobilise-private-investments-ukraine-2025-10-10_en,10 October 2025,"Today at the Global Gateway Forum, the European Commission and International Finance Corporation signed a Statement of Agreement on the Better Futures Program - High Impact Equity Guarantee to mobilise private equity finance for reconstruction and investment projects in Ukraine"
Commission publishes Terms and Conditions for the first pilot auction for industrial heat decarbonisation with a budget of €1 billion,https://climate.ec.europa.eu/news-other-reads/news/commission-publishes-terms-and-conditions-first-pilot-auction-industrial-heat-decarbonisation-budget-2025-10-10_en,10 October 2025,"For the first time, the Innovation Fund will launch an auction to decarbonise industrial process heat, awarding subsidies linked to carbon abatement and paving the way for the future Industrial Decarbonisation Bank."
EU Ecolabel hits record numbers as green opportunities for businesses and consumers grow,https://environment.ec.europa.eu/news/eu-ecolabel-hits-record-numbers-green-opportunities-grow-2025-10-09_en,9 October 2025,"Italy tops the rankings in terms of products certified under the scheme, followed closely by Spain, France and Germany."
Fuelling Europe’s green energy revolution with mussel by-products,https://oceans-and-fisheries.ec.europa.eu/news/fuelling-europes-green-energy-revolution-mussel-products-2025-10-09_en,9 October 2025,"In the French region of Brittany, a pioneering project is transforming undersized mussels, once considered waste, into valuable green energy through methanisation. This process produces methane gas, a renewable energy, from organic materials."
Team Europe reaches €300 billion target for Global Gateway investments ahead of time,https://north-africa-middle-east-gulf.ec.europa.eu/news/team-europe-reaches-eu300-billion-target-global-gateway-investments-ahead-time-2025-10-09_en,9 October 2025,"Today at the opening of the Global Gateway Forum, President von der Leyen laid down her vision for strengthened partnerships in a radically changing global economy."
Boosting the use of AI will make strategic industries more competitive,https://joint-research-centre.ec.europa.eu/jrc-news-and-updates/boosting-use-ai-will-make-strategic-industries-more-competitive-2025-10-09_en,9 October 2025,"Latest insights on AI uptake in public sector, SMEs, educational offer and jobs demand."
Mentors for Future Leaders,https://blue-economy-observatory.ec.europa.eu/news/mentors-future-leaders-2025-10-09_en,9 October 2025,Mentors for Future Leaders is an initiative that brings together experienced professionals to advise and support emerging female leaders and entrepreneurs in the emerging blue economy sectors.
EU and Azerbaijan deepen transport cooperation at second transport dialogue,https://transport.ec.europa.eu/news-events/news/eu-and-azerbaijan-deepen-transport-cooperation-second-transport-dialogue-2025-10-09_en,9 October 2025,"On 9 October, the European Commission and the Ministry of Digital Development and Transport of Azerbaijan held the second High-Level Transport Dialogue, co-chaired by Minister Rashad Nabiyev and Director-General Magda Kopczyńska."
Eurostat: EU imports €14.6 billion in green energy products,https://energy.ec.europa.eu/news/eurostat-eu-imports-eu146-billion-green-energy-products-2025-10-09_en,9 October 2025,"In 2024, the EU imported €11.1 billion worth of solar panels, €2.9 billion of liquid biofuels, and €0.5 billion worth of wind turbines from extra-EU countries, totalling almost €14.6 billion in imports of green energy products."
5 things you should know about biogas and biomethane,https://energy.ec.europa.eu/news/5-things-you-should-know-about-biogas-and-biomethane-2025-10-09_en,9 October 2025,"Despite their benefits for the climate and our energy security, biogas and biomethane are still subject to persistent myths and misunderstandings. Here are 5 key things you should know."
Statement by President von der Leyen on the announcement of an agreement on a ceasefire in Gaza and the release of hostages,https://north-africa-middle-east-gulf.ec.europa.eu/news/statement-president-von-der-leyen-announcement-agreement-ceasefire-gaza-and-release-hostages-2025-10-09_en,9 October 2025,"I welcome the announcement of an agreement to secure a ceasefire and the release of hostages in Gaza, based on the proposal put forward by President Trump. I commend the diplomatic efforts of the United States, Qatar, Egypt, and Türkiye in achieving this breakthrough."
Commission and EDPB gather feedback on draft guidelines on interplay between DMA and GDPR,https://digital-markets-act.ec.europa.eu/public-consultation-joint-guidelines-interplay-between-dma-and-gdpr-2025-10-09_en,9 October 2025,The European Commission and the European Data Protection Board (EDPB) are gathering feedback on the draft guidelines on the interplay between the Digital Markets Act (DMA) and the General Data Protection Regulation (GDPR). Interested parties have until 4 December 2025 to submit feedback.
ZERO44: cutting costs for greener shipping solutions with BlueInvest support,https://oceans-and-fisheries.ec.europa.eu/news/zero44-cutting-costs-greener-shipping-solutions-blueinvest-support-2025-10-09_en,9 October 2025,"Berlin-based startup ZERO44 is helping the shipping companies navigate the fast-changing world of decarbonisation regulations. Its platform enables shipowners, operators, and managers to measure, forecast, and optimise fuel use - reducing both emissions and carbon-related costs."
A new digital gateway for Swedish aquaculture,https://oceans-and-fisheries.ec.europa.eu/news/new-digital-gateway-swedish-aquaculture-2025-10-09_en,9 October 2025,"The Food Fish Farmers, known in Sweden as Matfiskodlarna, serves as the country’s hub for aquaculture knowledge. With the support from the EU, the organisation developed a modern digital gateway to strengthen knowledge exchange, support collaboration, and inspire the future of Swedish aquaculture."
Faster and safer instant euro payments become a reality,https://finance.ec.europa.eu/news/faster-and-safer-instant-euro-payments-become-reality-2025-10-09_en,9 October 2025,"People and businesses can now transfer money in euro within seconds, anytime – day or night, weekdays or weekends – whether within their own country or across the euro area."
President von der Leyen announces €618 million package to scale up renewables in Africa at Global Gateway Forum,https://energy.ec.europa.eu/news/president-von-der-leyen-announces-eu618-million-package-scale-renewables-africa-global-gateway-forum-2025-10-09_en,9 October 2025,European Commission President Ursula von der Leyen announced today a €618 million Team Europe package to accelerate Africa's clean energy transition.
EU-Belarus: 4th Senior Officials’ Meeting takes place in Brussels,https://enlargement.ec.europa.eu/news/eu-belarus-4th-senior-officials-meeting-takes-place-brussels-2025-10-09_en,9 October 2025,"On 8 October, the European Union and leaders of the Belarusian democratic forces and civil society representatives held their fourth Senior Officials Meeting (SOM) on Belarus in Brussels."
"The EU is prepared for winter and beyond, confirms the latest report of European transmission system operators for gas",https://energy.ec.europa.eu/news/eu-prepared-winter-and-beyond-confirms-latest-report-european-transmission-system-operators-gas-2025-10-09_en,9 October 2025,"The EU is well prepared for winter 2025-2026 and the months that follow, according to the annual Winter Supply Outlook published today by the European Network for Transmission System Operators for Gas (ENTSOG)."
EU and Cabo Verde strengthen strategic autonomy and green transitions at the Global Gateway Forum,https://international-partnerships.ec.europa.eu/news-and-events/news/eu-and-cabo-verde-strengthen-strategic-autonomy-and-green-transitions-global-gateway-forum-2025-10-09_en,9 October 2025,"President Ursula von der Leyen met with Prime Minister José Ulisses Correia e Silva of Cabo Verde during the 2025 Global Gateway Forum. The meeting reaffirmed the longstanding partnership between the EU and Cabo Verde on renewable energy, maritime infrastructure, and digital transformation."
EU–Angola partnership advanced through major investments in the Lobito Corridor,https://international-partnerships.ec.europa.eu/news-and-events/news/eu-angola-partnership-advanced-through-major-investments-lobito-corridor-2025-10-09_en,9 October 2025,"President Ursula von der Leyen met with President João Lourenço of Angola during the 2025 Global Gateway Forum. The meeting highlighted the EU’s support to Angola, through the EU’s Global Gateway strategy, to advance economic diversification, sustainable growth, and regional integration."
EU and Guatemala advance future cooperation under Global Gateway at the Global Gateway Forum,https://international-partnerships.ec.europa.eu/news-and-events/news/eu-and-guatemala-advance-future-cooperation-under-global-gateway-global-gateway-forum-2025-10-09_en,9 October 2025,"Commissioner Jozef Síkela met with President Bernardo Arévalo of Guatemala during the Global Gateway Forum to reaffirm the EU’s strong and forward-looking partnership with Guatemala, built on shared values, mutual trust, and joint ambitions for sustainable development and regional integration."
Global Gateway Forum: New value chains and new jobs in the Caribbean as the EU and Caribbean tackle the sargassum crisis together,https://international-partnerships.ec.europa.eu/news-and-events/news/global-gateway-forum-new-value-chains-and-new-jobs-caribbean-eu-and-caribbean-tackle-sargassum-2025-10-09_en,9 October 2025,"The third EU-Caribbean Global Gateway Conference on Sargassum marks a shift from studies and pilot projects to real action. Governments, the private sector, academia, and international financiers came together to explore practical solutions for turning sargassum into economic opportunities."
EU and Mauritania advance partnership through Global Gateway,https://international-partnerships.ec.europa.eu/news-and-events/news/eu-and-mauritania-advance-partnership-through-global-gateway-2025-10-09_en,9 October 2025,President Ursula von der Leyen met with President Mohamed Ould Ghazouani of Mauritania during the 2025 Global Gateway Forum. The meeting reaffirmed the European Union’s strong partnership with Mauritania.
EU reinforces support for Vietnam’s Just Energy Transition with €430 million package,https://international-partnerships.ec.europa.eu/news-and-events/news/eu-reinforces-support-vietnams-just-energy-transition-eu430-million-package-2025-10-09_en,9 October 2025,"Commissioner Síkela met with the deputy Prime Minister of Vietnam, Bùi Thanh Sơn during the Global Gateway Forum. In the margins of the meeting, the European Commission and other Team Europe actors announced a comprehensive €430 million package to advance the Bac Ai Pumped Hydro Storage Project."
"Global Gateway Forum: Team Europe and South Africa mobilise an investment package for inclusive prosperity, worth nearly €12 billion",https://international-partnerships.ec.europa.eu/news-and-events/news/global-gateway-forum-team-europe-and-south-africa-mobilise-investment-package-inclusive-prosperity-2025-10-09_en,9 October 2025,"Today at the Global Gateway Forum, European Commission President Ursula von der Leyen, together with South Africa President Cyril Ramaphosa, unveiled a Team Europe investment package, worth nearly €12 billion."
Grenada and EU strengthen partnership at Global Gateway Forum,https://international-partnerships.ec.europa.eu/news-and-events/news/grenada-and-eu-strengthen-partnership-global-gateway-forum-2025-10-09_en,9 October 2025,"President Ursula von der Leyen met with Prime Minister Dickon Mitchell of Grenada during the Global Gateway Forum to reaffirm the EU’s strong and forward-looking partnership with Grenada, built on shared values, mutual trust, and joint ambitions for sustainable growth and climate resilience."
EU and Ethiopia advance partnership for more trade and investments at the Global Gateway Forum,https://international-partnerships.ec.europa.eu/news-and-events/news/eu-and-ethiopia-advance-partnership-more-trade-and-investments-global-gateway-forum-2025-10-09_en,9 October 2025,"European Commission President Ursula von der Leyen met with the President of Ethiopia Taye Atske Selassie during the Global Gateway Forum. On the 50th anniversary of their bilateral relation, the Forum is an opportunity to advance the partnership."
"EU and Rwanda advance health, education and refugee initiatives with new Global Gateway investments",https://international-partnerships.ec.europa.eu/news-and-events/news/eu-and-rwanda-advance-health-education-and-refugee-initiatives-new-global-gateway-investments-2025-10-09_en,9 October 2025,President Ursula von der Leyen met with President of the Republic of Rwanda Paul Kagame during the Global Gateway Forum to reaffirm the commitment of the EU to engage with Rwanda as a key player in the Great Lakes region and the wider African continent...
EU and Colombia strengthen strategic partnership at Global Gateway Forum,https://international-partnerships.ec.europa.eu/news-and-events/news/eu-and-colombia-strengthen-strategic-partnership-global-gateway-forum-2025-10-09_en,9 October 2025,"President Ursula von der Leyen met with Colombia’s President Gustavo Petro during the Global Gateway Forum. The meeting reaffirmed the shared investment agenda on digital connectivity, energy, transport, and cooperation in security and the fight against drugs."
Building stronger defences against fraud: OLAF hosts 2025 AFCOS seminar with candidate countries,https://anti-fraud.ec.europa.eu/media-corner/news/building-stronger-defences-against-fraud-olaf-hosts-2025-afcos-seminar-candidate-countries-2025-10-09_en,9 October 2025,"Strengthening anti-fraud cooperation with EU enlargement countries was at the centre of the 2025 AFCOS Seminar, organised by the European Anti-Fraud Office (OLAF) and held in Tirana (Albania) on 8–9 October."
Highlights from the Security Research Event 2025,https://home-affairs.ec.europa.eu/news/highlights-security-research-event-2025-2025-10-09_en,9 October 2025,The Security Research Event (SRE) 2025 was held in Warsaw on June 24 and 25 under the theme Boosting security through EU-based innovation.
EU and Democratic Republic of Congo solidify cooperation through Global Gateway investments and support for regional peace and integration,https://international-partnerships.ec.europa.eu/news-and-events/news/eu-and-democratic-republic-congo-solidify-cooperation-through-global-gateway-investments-and-support-2025-10-09_en,9 October 2025,"President Ursula von der Leyen met with President Félix Tshisekedi of the Democratic Republic of Congo during the 2025 Global Gateway Forum to reaffirm the EU’s strong partnership with the country, a key partner in Central Africa and an essential actor for Africa’s green and digital transitions."
Launch of the Global Gateway Investment Hub: Empowering EU private sector engagement worldwide,https://international-partnerships.ec.europa.eu/news-and-events/news/launch-global-gateway-investment-hub-empowering-eu-private-sector-engagement-worldwide-2025-10-09_en,9 October 2025,"The European Commission announced today at the Global Gateway Forum the official launch of the Global Gateway Investment Hub, a groundbreaking initiative designed to streamline and amplify private sector involvement in the EU’s Global Gateway investment strategy."
Global Gateway Board ahead of the 2025 Forum: Team Europe further accelerates Global Gateway investments,https://international-partnerships.ec.europa.eu/news-and-events/news/global-gateway-board-ahead-2025-forum-team-europe-further-accelerates-global-gateway-investments-2025-10-09_en,9 October 2025,"Today the Global Gateway Board met in Brussels, to provide strategic guidance on scaling up Global Gateway, the EU’s external investment strategy to boost sustainable and trusted connections with the world."
Team Europe reaches €300 billion target for Global Gateway investments ahead of time,https://international-partnerships.ec.europa.eu/news-and-events/news/team-europe-reaches-eu300-billion-target-global-gateway-investments-ahead-time-2025-10-09_en,9 October 2025,"Today at the opening of the Global Gateway Forum, President von der Leyen laid down her vision for strengthened partnerships in a radically changing global economy. With Global Gateway as the EU’s external investment strategy, the EU has the power to lead this change."
Global Gateway Forum: the European Commission and World Bank Group deepen partnership for infrastructure and jobs,https://international-partnerships.ec.europa.eu/news-and-events/news/global-gateway-forum-european-commission-and-world-bank-group-deepen-partnership-infrastructure-and-2025-10-09_en,9 October 2025,"The European Commission, in line with its Global Gateway investment strategy, and the World Bank Group are deepening their strategic partnership to drive a new generation of connectivity projects."
Commission provides new guidance to Member States on implementing Social Climate Fund,https://employment-social-affairs.ec.europa.eu/news/commission-provides-new-guidance-member-states-implementing-social-climate-fund-2025-10-09_en,9 October 2025,The European Commission has issued new guidance to help EU Member States effectively implement the Social Climate Fund (SCF) and complete their Social Climate Plans (SCPs).
Empowering women in security: EU and Iraq advance counter-terrorism intelligence,https://fpi.ec.europa.eu/news/empowering-women-security-eu-and-iraq-advance-counter-terrorism-intelligence-2025-10-08_en,8 October 2025,"Twenty-five Iraqi female officers strengthened their skills in counter-terrorism intelligence during a week-long training in Baghdad, Iraq."
AI is a strategic tool to improve scientific research,https://joint-research-centre.ec.europa.eu/jrc-news-and-updates/ai-strategic-tool-improve-scientific-research-2025-10-08_en,8 October 2025,JRC research shapes the EU approach to strengthen AI in science in Europe.
EU4Youth Days 2025: Empowering young people across the Eastern Partnership,https://enlargement.ec.europa.eu/news/eu4youth-days-2025-empowering-young-people-across-eastern-partnership-2025-10-08_en,8 October 2025,"Young people in the region continue to face unimaginable challenges, from the devastating consequences of war to democratic backsliding, exclusion and limited opportunities."
October infringement package – key decisions on energy,https://energy.ec.europa.eu/news/october-infringement-package-key-decisions-energy-2025-10-08_en,8 October 2025,"In the list of October infringements, there is 1 energy-related letter of formal notice, 1 reasoned opinion and additional reasoned opinion, and 3 referrals to the Court of Justice."
Unprecedented Amazon fires in 2024 fuel record CO₂ emissions,https://joint-research-centre.ec.europa.eu/jrc-news-and-updates/unprecedented-amazon-fires-2024-fuel-record-co2-emissions-2025-10-08_en,8 October 2025,"Wildfires burn area larger than Belgium, sending an equivalent of Germany’s annual emissions into the atmosphere."
Next Generation EU drives sustainable growth across the EU,https://energy.ec.europa.eu/news/next-generation-eu-drives-sustainable-growth-across-eu-2025-10-08_en,8 October 2025,"As the Recovery and Resilience Facility (RRF) approaches its 2026 deadline, it continues to drive positive reforms and investments across the EU."
EU-ESA workshop on Near-Earth Objects: DG DEFIS and ESA discuss astrometric and radar observations of Near-Earth Objects with NEO experts,https://defence-industry-space.ec.europa.eu/eu-esa-workshop-near-earth-objects-dg-defis-and-esa-discuss-astrometric-and-radar-observations-near-2025-10-08_en,8 October 2025,"On 6-8 October 2025, DG DEFIS and ESA held this year’s edition of their annual workshop on Near-Earth Objects (NEO). This year’s three-day workshop, attended by over 100 participants, explored ways to improve the quality and reliability of astrometric and radar observations of NEOs."
OLAF and EUIPO unite with global partners in the fight against e-commerce fakes,https://anti-fraud.ec.europa.eu/media-corner/news/olaf-and-euipo-unite-global-partners-fight-against-e-commerce-fakes-2025-10-08_en,8 October 2025,"The European Anti-Fraud Office and the European Union Intellectual Property Office hosted the international conference “Ordered, counterfeited, unmasked: the global fight against e-commerce fakes” on 7–8 October in Alicante, Spain."
Commission proposes safeguards to strengthen protections for EU farmers in EU-Mercosur deal,https://policy.trade.ec.europa.eu/news/commission-proposes-safeguards-strengthen-protections-eu-farmers-eu-mercosur-deal-2025-10-08_en,8 October 2025,The Commission today proposed a Regulation to strengthen protections for EU farmers in the context of the EU-Mercosur Partnership Agreement (EMPA).
October infringements package: key decisions,https://transport.ec.europa.eu/news-events/news/october-infringements-package-key-decisions-2025-10-08_en,8 October 2025,October infringements package: key decisions
EU-funded physicist wins 2025 Nobel Prize,https://research-and-innovation.ec.europa.eu/news/all-research-and-innovation-news/eu-funded-physicist-wins-2025-nobel-prize-2025-10-08_en,8 October 2025,"Research and innovation news alert: The Royal Swedish Academy of Sciences awarded the prestigious science prize to Michel H. Devoret, alongside John Clarke and John M. Martinis ""for the discovery of macroscopic quantum mechanical tunnelling and energy quantisation in an electric circuit."""
Keeping European industry and science at the forefront of AI,/news-and-media/news/keeping-european-industry-and-science-forefront-ai-2025-10-08_en,8 October 2025,Learn how two EU strategies are putting industry and science at the forefront of artificial intelligence helping Europe become the global leader in trustworthy AI
"Free to love, free to be: the EU’s new LGBTIQ+ strategy",/news-and-media/news/free-love-free-be-eus-new-lgbtiq-strategy-2025-10-08_en,8 October 2025,"To defend equality and inclusion whenever they are under threat, the EU has launched its LGBTIQ+ equality strategy for 2026-2030. It builds on the previous strategy for 2020-2025 and will go further in ensuring LGBTIQ+ equality is mainstreamed across all EU policies."
Internet Accountability Forum spotlights global challenges to online freedoms,https://fpi.ec.europa.eu/news/internet-accountability-forum-spotlights-global-challenges-online-freedoms-2025-10-07_en,7 October 2025,"The Internet Accountability Forum gathered policymakers, civil society, researchers and private-sector actors to address how to uphold the principles of an open and rights-based internet."
Consultation on Danish market reform plan,https://energy.ec.europa.eu/news/consultation-danish-market-reform-plan-2025-10-07_en,7 October 2025,The European Commission has opened a consultation on proposed electricity market reforms in Denmark.
Commission proposes plan to protect EU steel industry from unfair impacts of global overcapacity,https://policy.trade.ec.europa.eu/news/commission-proposes-plan-protect-eu-steel-industry-unfair-impacts-global-overcapacity-2025-10-07_en,7 October 2025,"The Commission has presented a proposal to protect the EU steel sector from unfair impacts of global overcapacity, a vital step towards ensuring the long-term viability of a strategically crucial industry."
How to interview while employed,https://eures.europa.eu/how-interview-while-employed-2025-10-07_en,7 October 2025,"Exploring your career options doesn’t need to be only for occasions when you are unemployed. However, there are some special considerations for interviewing while already holding a job."
New Performance Review Board appointed to drive implementation of the Single European Sky,https://transport.ec.europa.eu/news-events/news/new-performance-review-board-appointed-drive-implementation-single-european-sky-2025-10-07_en,7 October 2025,A new Performance Review Board (PRB) has been appointed to guide the implementation of the Single European Sky initiative.
The Balkan Medical Force receives fully equipped field hospital through the European Peace Facility,https://fpi.ec.europa.eu/news/balkan-medical-force-receives-fully-equipped-field-hospital-through-european-peace-facility-2025-10-07_en,7 October 2025,The European Union has delivered a field hospital to the Balkan Medical Task Force (BMTF) in North Macedonia.
Adapting VET to meet the needs of the labour market in Belgium-fr,https://employment-social-affairs.ec.europa.eu/news/adapting-vet-meet-needs-labour-market-belgium-fr-2025-10-06_en,6 October 2025,The peer review gathered Belgian-fr public authorities in charge of VET and EQAVET international peer reviewers to discuss the links between labour market and societal needs in the governance of VET as well as between training outcomes and labour market needs.
Calculating the global warming potential of new buildings: Open for public feedback,https://energy.ec.europa.eu/news/calculating-global-warming-potential-new-buildings-open-public-feedback-2025-10-06_en,6 October 2025,The Commission has opened the feedback period on  draft rules relating to the calculation of the life-cycle global warming potential (GWP) of new buildings.
Seven-year Earth observation partnership concludes with event in Brussels,https://defence-industry-space.ec.europa.eu/seven-year-earth-observation-partnership-concludes-event-brussels-2025-10-06_en,6 October 2025,"On 1 October 2025, DG DEFIS and German Aerospace Centre DLR co-hosted an event in Brussels to mark the coming to an end of a seven-year partnership. Participants from across Europe shared their experiences of some of the more than 220 actions undertaken in support of the uptake of data and services"
EU and São Tomé and Príncipe renew sustainable fisheries partnership,https://oceans-and-fisheries.ec.europa.eu/news/eu-and-sao-tome-and-principe-renew-sustainable-fisheries-partnership-2025-10-06_en,6 October 2025,The European Union and São Tomé and Príncipe have signed a new protocol to continue their 40-year-old partnership on fisheries.
De-prioritisation of Level 2 acts in financial services legislation,https://finance.ec.europa.eu/news/de-prioritisation-level-2-acts-financial-services-legislation-2025-10-06_en,6 October 2025,"The Commission, in line with its broader simplification agenda, has informed the European Supervisory Authorities and the Anti‑Money laundering Authority (AMLA) of its plan to deprioritise 115 non‑essential level 2 acts."
The EU and Japan committed to conclude negotiations on the association to Horizon Europe in 2025,https://research-and-innovation.ec.europa.eu/news/all-research-and-innovation-news/eu-and-japan-committed-conclude-negotiations-association-horizon-europe-2025-2025-10-06_en,6 October 2025,"Research and innovation news alert: The European Union and Japan reaffirm today their commitment to deepen cooperation in research and innovation (R&I) in Kyoto, Japan."
Countdown to launch – Copernicus Sentinel-1D lifts off in November,https://defence-industry-space.ec.europa.eu/countdown-launch-copernicus-sentinel-1d-lifts-november-2025-10-06_en,6 October 2025,"On 4 November 2025, Sentinel-1D will lift off from Europe’s Spaceport in Kourou, French Guiana, ensuring the continuity of services on which a wide range of end users rely worldwide."
Commission launches public consultation on CO2 markets and infrastructure,https://energy.ec.europa.eu/news/commission-launches-public-consultation-co2-markets-and-infrastructure-2025-10-06_en,6 October 2025,The feedback received will inform the Commission’s initiative planned for 2026.
Commission approves Austrian scheme to support security of electricity supply,https://competition-policy.ec.europa.eu/about/news/commission-approves-austrian-scheme-support-security-electricity-supply-2025-10-06_en,6 October 2025,"The scheme will support security of electricity supply for a period of 5 years starting in October 2026.
It is an extension and update of the existing network reserve that was approved in 2021 and will end
in 2026."
Adapting VET to meet the needs of the labour market in Belgium-fr,https://employment-social-affairs.ec.europa.eu/news/adapting-vet-meet-needs-labour-market-belgium-fr-2025-10-06_en,6 October 2025,The peer review gathered Belgian-fr public authorities in charge of VET and EQAVET international peer reviewers to discuss the links between labour market and societal needs in the governance of VET as well as between training outcomes and labour market needs.
Statement by High Representative/Vice President Kallas and Commissioner for Enlargement Kos on Georgia,https://enlargement.ec.europa.eu/news/statement-high-representativevice-president-kallas-and-commissioner-enlargement-kos-georgia-2025-10-05_en,5 October 2025,"This Saturday in Georgia was the day of local elections, amid a period of extensive crackdown on dissent. Months of raids on independent media, the passing of laws targeting civil society, the jailing of opponents and activists or amendments to the electoral code favouring the ruling party..."
The EU is mobilising emergency support to Democratic Republic of the Congo in response to the ongoing Ebola outbreak,https://civil-protection-humanitarian-aid.ec.europa.eu/news-stories/news/eu-mobilising-emergency-support-democratic-republic-congo-response-ongoing-ebola-outbreak-2025-10-03_en,3 October 2025,"The EU is supporting the emergency response to the outbreak of Ebola virus in the Democratic Republic of the Congo, officially declared on the 4 September 2025 by the Congolese ministry of health."
Commission consults on revised State aid rules for better access to affordable housing,https://housing.ec.europa.eu/news/commission-consults-revised-state-aid-rules-better-access-affordable-housing-2025-10-03_en,3 October 2025,The European Commission has today launched a public consultation on the revision of the State aid rules to help Member States with affordable housing.
